expert_code,shock_id,bloc,stratum,direction,direction_confidence,magnitude_bucket,notes
EXPERT_CODE_HERE,financial_crisis_2008,catholic,religion,,,,
EXPERT_CODE_HERE,financial_crisis_2008,protestant,religion,,,,
EXPERT_CODE_HERE,financial_crisis_2008,secular,religion,,,,
EXPERT_CODE_HERE,financial_crisis_2008,jewish,religion,,,,
EXPERT_CODE_HERE,financial_crisis_2008,muslim,religion,,,,
EXPERT_CODE_HERE,financial_crisis_2008,other_rel,religion,,,,
EXPERT_CODE_HERE,financial_crisis_2008,women,gender,,,,
EXPERT_CODE_HERE,financial_crisis_2008,men,gender,,,,
EXPERT_CODE_HERE,financial_crisis_2008,other_gender,gender,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,african_american,race,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,latino,race,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,asian,race,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,white,race,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,other_race,race,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,evangelical,religion,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,catholic,religion,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,protestant,religion,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,secular,religion,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,jewish,religion,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,muslim,religion,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,other_rel,religion,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,women,gender,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,men,gender,,,,
EXPERT_CODE_HERE,bin_laden_killing_2011,other_gender,gender,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,african_american,race,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,latino,race,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,asian,race,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,white,race,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,other_race,race,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,evangelical,religion,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,catholic,religion,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,protestant,religion,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,secular,religion,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,jewish,religion,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,muslim,religion,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,other_rel,religion,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,women,gender,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,men,gender,,,,
EXPERT_CODE_HERE,russia_ukraine_invasion_2022,other_gender,gender,,,,
EXPERT_CODE_HERE,charlottesville_2017,african_american,race,,,,
EXPERT_CODE_HERE,charlottesville_2017,latino,race,,,,
EXPERT_CODE_HERE,charlottesville_2017,asian,race,,,,
EXPERT_CODE_HERE,charlottesville_2017,white,race,,,,
EXPERT_CODE_HERE,charlottesville_2017,other_race,race,,,,
EXPERT_CODE_HERE,charlottesville_2017,evangelical,religion,,,,
EXPERT_CODE_HERE,charlottesville_2017,catholic,religion,,,,
EXPERT_CODE_HERE,charlottesville_2017,protestant,religion,,,,
EXPERT_CODE_HERE,charlottesville_2017,secular,religion,,,,
EXPERT_CODE_HERE,charlottesville_2017,jewish,religion,,,,
EXPERT_CODE_HERE,charlottesville_2017,muslim,religion,,,,
EXPERT_CODE_HERE,charlottesville_2017,other_rel,religion,,,,
EXPERT_CODE_HERE,charlottesville_2017,women,gender,,,,
EXPERT_CODE_HERE,charlottesville_2017,men,gender,,,,
EXPERT_CODE_HERE,charlottesville_2017,other_gender,gender,,,,
EXPERT_CODE_HERE,kavanaugh_2018,african_american,race,,,,
EXPERT_CODE_HERE,kavanaugh_2018,latino,race,,,,
EXPERT_CODE_HERE,kavanaugh_2018,asian,race,,,,
EXPERT_CODE_HERE,kavanaugh_2018,white,race,,,,
EXPERT_CODE_HERE,kavanaugh_2018,other_race,race,,,,
EXPERT_CODE_HERE,kavanaugh_2018,evangelical,religion,,,,
EXPERT_CODE_HERE,kavanaugh_2018,catholic,religion,,,,
EXPERT_CODE_HERE,kavanaugh_2018,protestant,religion,,,,
EXPERT_CODE_HERE,kavanaugh_2018,secular,religion,,,,
EXPERT_CODE_HERE,kavanaugh_2018,jewish,religion,,,,
EXPERT_CODE_HERE,kavanaugh_2018,muslim,religion,,,,
EXPERT_CODE_HERE,kavanaugh_2018,other_rel,religion,,,,
EXPERT_CODE_HERE,kavanaugh_2018,women,gender,,,,
EXPERT_CODE_HERE,kavanaugh_2018,men,gender,,,,
EXPERT_CODE_HERE,kavanaugh_2018,other_gender,gender,,,,
EXPERT_CODE_HERE,family_separation_2018,african_american,race,,,,
EXPERT_CODE_HERE,family_separation_2018,latino,race,,,,
EXPERT_CODE_HERE,family_separation_2018,asian,race,,,,
EXPERT_CODE_HERE,family_separation_2018,white,race,,,,
EXPERT_CODE_HERE,family_separation_2018,other_race,race,,,,
EXPERT_CODE_HERE,family_separation_2018,evangelical,religion,,,,
EXPERT_CODE_HERE,family_separation_2018,catholic,religion,,,,
EXPERT_CODE_HERE,family_separation_2018,protestant,religion,,,,
EXPERT_CODE_HERE,family_separation_2018,secular,religion,,,,
EXPERT_CODE_HERE,family_separation_2018,jewish,religion,,,,
EXPERT_CODE_HERE,family_separation_2018,muslim,religion,,,,
EXPERT_CODE_HERE,family_separation_2018,other_rel,religion,,,,
EXPERT_CODE_HERE,family_separation_2018,women,gender,,,,
EXPERT_CODE_HERE,family_separation_2018,men,gender,,,,
EXPERT_CODE_HERE,family_separation_2018,other_gender,gender,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,african_american,race,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,latino,race,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,asian,race,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,white,race,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,other_race,race,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,evangelical,religion,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,catholic,religion,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,protestant,religion,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,secular,religion,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,jewish,religion,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,muslim,religion,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,other_rel,religion,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,women,gender,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,men,gender,,,,
EXPERT_CODE_HERE,blm_george_floyd_2020,other_gender,gender,,,,
EXPERT_CODE_HERE,dobbs_2022,african_american,race,,,,
EXPERT_CODE_HERE,dobbs_2022,latino,race,,,,
EXPERT_CODE_HERE,dobbs_2022,asian,race,,,,
EXPERT_CODE_HERE,dobbs_2022,white,race,,,,
EXPERT_CODE_HERE,dobbs_2022,other_race,race,,,,
EXPERT_CODE_HERE,dobbs_2022,evangelical,religion,,,,
EXPERT_CODE_HERE,dobbs_2022,catholic,religion,,,,
EXPERT_CODE_HERE,dobbs_2022,protestant,religion,,,,
EXPERT_CODE_HERE,dobbs_2022,secular,religion,,,,
EXPERT_CODE_HERE,dobbs_2022,jewish,religion,,,,
EXPERT_CODE_HERE,dobbs_2022,muslim,religion,,,,
EXPERT_CODE_HERE,dobbs_2022,other_rel,religion,,,,
EXPERT_CODE_HERE,dobbs_2022,women,gender,,,,
EXPERT_CODE_HERE,dobbs_2022,men,gender,,,,
EXPERT_CODE_HERE,dobbs_2022,other_gender,gender,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,african_american,race,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,latino,race,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,asian,race,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,white,race,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,other_race,race,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,evangelical,religion,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,catholic,religion,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,protestant,religion,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,secular,religion,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,jewish,religion,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,muslim,religion,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,other_rel,religion,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,women,gender,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,men,gender,,,,
EXPERT_CODE_HERE,jan_6_insurrection_2021,other_gender,gender,,,,
